Date,Close,High,Low,Open,Volumn,Code
2010-09-09,76.77693939208984,77.6711045340757,76.64054112360718,77.6711045340757,26500,VOO
2010-09-10,77.12549591064453,77.18611863581503,76.761771122224,77.04972039483202,8600,VOO
2010-09-13,78.09546661376953,78.15608936240311,77.67111893594151,78.01969106862931,33750,VOO
2010-09-14,78.0802993774414,78.4137186519615,77.58017046566125,77.9287425338857,59400,VOO
2010-09-15,78.27733612060547,78.33795308891199,77.5953446407506,77.76205431152664,9250,VOO
2010-09-16,78.24701690673828,78.29248107373931,77.82266348328424,78.06514867612812,59550,VOO
2010-09-17,78.32278442382812,78.71682065385428,78.06514068083598,78.71682065385428,49350,VOO
2010-09-20,79.59585571289062,79.59585571289062,78.39858232489942,78.61075618478564,19000,VOO
2010-09-21,79.35333251953125,79.89892548758813,79.01991330987397,79.58065906868741,19250,VOO
2010-09-22,78.92898559570312,79.59581823872608,78.77742878049243,79.23208766352178,18100,VOO
2010-09-23,78.27733612060547,79.06540874032264,78.14093782463449,78.2924889173562,33350,VOO
2010-09-24,79.875732421875,79.92144930958099,79.12909107084702,79.19004304598816,24100,VOO
2010-09-27,79.49478149414062,79.98239142244442,79.49478149414062,79.98239142244442,15000,VOO
2010-09-28,80.01290893554688,80.01290893554688,78.7938979252726,79.47959343502157,49850,VOO
2010-09-29,79.63195037841797,79.936704518134,79.40338913315725,79.6776672776315,15900,VOO
2010-09-30,79.51005554199219,80.51574017630674,79.20530138950555,80.15003403078236,44750,VOO
2010-10-01,79.78430938720703,80.11953943406596,79.35765719135037,80.05858745960066,17100,VOO
2010-10-04,79.11388397216797,80.19576164870513,78.8548466861947,80.19576164870513,88700,VOO
2010-10-05,80.85096740722656,80.91191358536263,79.86051790056791,80.01289206496074,19850,VOO
2010-10-06,80.71381378173828,80.97285097704281,80.47001167504548,80.85095283004677,276900,VOO
2010-10-07,80.6681137084961,81.1404829317513,80.2414613860088,81.1404829317513,49900,VOO
2010-10-08,81.2776107788086,81.32332186055879,80.50049332554944,80.77476562875181,61550,VOO
2010-10-11,81.1405029296875,81.39954024283958,80.97288781519926,81.30811804417573,14200,VOO
2010-10-12,81.61287689208984,81.70429909593204,80.56147504627488,81.0490795091123,42050,VOO
2010-10-13,82.1004638671875,82.49664022909181,81.70428169258072,81.96332477793169,74450,VOO
2010-10-14,81.79572296142578,82.14618828801042,81.36907053127115,82.0547602761044,19100,VOO
2010-10-15,81.94808197021484,82.344264135627,81.30810344367534,82.31378813731051,54950,VOO
2010-10-18,82.54232025146484,82.61851312669573,81.85663087598907,81.99376991362428,22850,VOO
2010-10-19,81.23192596435547,82.0395196708267,80.77479174822916,81.62810236393484,38550,VOO
2010-10-20,82.1004638671875,82.40521804472291,81.47572041895602,81.47572041895602,22800,VOO
2010-10-21,82.22237396240234,82.86235840921357,81.75001044085695,82.48141708528172,29400,VOO
2010-10-22,82.42046356201172,82.43569865709924,82.23761335744547,82.4052284669242,24850,VOO
2010-10-25,82.66426086425781,83.25852835334167,82.63378486318904,83.0604372527461,29600,VOO
2010-10-26,82.64900970458984,82.7099558821777,82.19187559011984,82.22235158526462,15000,VOO
2010-10-27,82.38996887207031,82.45092086400213,81.68903840296008,82.08521472511312,17150,VOO
2010-10-28,82.4509048461914,82.90803307146955,82.10043967972148,82.86232199275196,19250,VOO
2010-10-29,82.51187133789062,82.60329351140449,82.2833042787024,82.35949136086455,13400,VOO
2010-11-01,82.55758666992188,83.3651802452319,82.10045834074077,82.98423900213064,51550,VOO
2010-11-02,83.1975326538086,83.36514766529986,82.93849549983103,83.21277355268951,26100,VOO
2010-11-03,83.54804992675781,83.54804992675781,82.52712420523628,83.36519391494012,31850,VOO
2010-11-04,85.11748504638672,85.1784370208235,84.37083789128675,84.4927418401603,49000,VOO
2010-11-05,85.45274353027344,85.5594066146833,85.08703737465235,85.25465245378275,48300,VOO
2010-11-08,85.3460464477539,85.39176333504744,84.94987023831132,85.23938339856934,43400,VOO
2010-11-09,84.67561340332031,85.55939981846005,84.4165761653873,85.46797183364161,35700,VOO
2010-11-10,84.99559020996094,85.02606620044668,84.0508577557062,84.69084193050517,28200,VOO
2010-11-11,84.72132873535156,84.78228072828524,84.12706133600315,84.32515240668661,24000,VOO
2010-11-12,83.669921875,84.46228023954116,83.33469177119764,84.1118150458847,39450,VOO
2010-11-15,83.59375,84.2032525209092,83.5327980040984,84.0356432512332,202750,VOO
2010-11-16,82.2528305053711,83.06042406097032,81.88713017603261,83.06042406097032,32850,VOO
