id,Horizon,Refer_Horizon,Data_Length,Layer,Train_Fraction,Seq_Len,mae_aggr,mae_indi,RefName
29,19,18,200,2,0.7,27,6.180088454026443,6.788164615631104,Current/29_H19/RNN_VOO_H19
27,13,14,200,2,0.7,50,7.2685366030092595,7.47346305847168,Current/27_H13/RNN_VOO_H13
65,7,6,1402,2,0.6,177,7.254136799800736,12.002449035644531,Current/65_H7/RNN_VOO_H7
62,2,2,1402,2,0.6,177,5.077870168899569,5.815952301025391,Current/62_H2/RNN_VOO_H2
